key	en	ar	zh-Hant	zh-CN	nl	de	el	ja	lv	pt	es	th	it
00	Serial Shipping Container Code (SSCC)	معرف رمز حاوية الشحنة المتسلسل SSCC	運送容器序號 (SSCC)	系列货运包装箱代码 (SSCC)	GS1 verzendcode (SSCC)	Serial Shipping Container Code (SSCC)	Σειριακός Κωδικός Μονάδων Logistics – SSCC	出荷梱包シリアル番号（SSCC）	Seriālais Kravas Konteinera Kods (SSCC)	Código de Série da Unidade Logística (SSCC)	Código Seriado de Contenedor de Embarque (SSCC)	เลขหมายเรียงลำดับสินค้าเพื่อการขนส่ง (SSCC)	Identificazione dell’unità logistica (SSCC)
01	Global Trade Item Number (GTIN)	معرف رقم وحدة المنتج العالمي GTIN	全球交易品項識別碼 (GTIN)	全球贸易项目代码 (GTIN)	GS1 artikelcode (GTIN)	Global Trade Item Number (GTIN)	Διεθνής Κωδικός Μονάδων Εμπορίας – GTIN	商品識別コード（GTIN）	Globālais Tirdzniecības Vienības Numurs (GTVN)	Número Global de Item Comercial (GTIN) da Unidade de Consumo ou de Expedição	Número Global de Artículo Comercial (GTIN)	เลขหมายประจำตัวสินค้าสากล (GTIN)	Identificazione dell’unità commerciale (GTIN)
02	Identification of trade items contained in a logistic unit	معرف رقم وحدة المنتج العالمي GTIN المتضمن وحدات منتجات	物流包裝之內裝品項識別碼 (GTIN)	物流单元內贸易项目的标识 (GTIN)	GS1 artikelcode (GTIN) van de onderliggende eenheid	Global Trade Item Number (GTIN) der Handelseinheiten enthalten in einer Transporteinheit	GTIN των περιεχομένων Μονάδων Εμπορίας	物流単位（パレット等）の中に収納された、最大梱包レベルの取引単位（ケースなど）の商品識別コード（GTIN）	Loģistikas vienībā ietilpstošo tirdzniecības vienību Globālais Tirdzniecības Vienības Numurs (GTVN)	Número Global de Item Comercial (GTIN) dos Produtos Contidos noutras unidades	GTIN de los artículos comerciales contenidos	เลขหมายประจำตัวสินค้าสากล (GTIN) ของสินค้าที่บรรจุอยู่ในบรรจุภัณฑ์	Identificazione delle unità commerciali contenute nell’unità logistica
03	Identification of a Made-to-Order (MtO) trade item (GTIN)	تحديد عنصر تجاري مصنوع حسب الطلب (MtO) (GTIN)	定制贸易项目识别代码（GTIN）	定制贸易项目识别代码（GTIN)	Identificatie van een Made-to-Order (MtO) artikel (GTIN)	Identifikationsschlüssel einer auftragsspezifischen (Made-to-Order - MtO) Handelseinheit (GTIN)		商品識別コード (GTIN)：受注生産品の商品識別コード	Pēc pasūtījuma izgatavotas (MtO) tirdzniecības vienības (GTVN) identifikācija	Identificação de um artigo comercial (GTIN) feito por encomenda (MtO)	Identificación de un artículo comercial (GTIN) Hecho a la Medida (MtO por sus siglas en inglés) o personalizado.	การระบุรายการค้าที่ผลิตตามสั่ง (MtO) (GTIN)	Identificazione di un’unità commerciale Made-to-order -MtO- (GTIN)
10	Batch or lot number	معرف رقم الدفعة او التشغيلة	批號	批号	Batch- of lotnummer	Los-/Chargennummer	Αριθμός Παρτίδας (Batch/Lot)	バッチ/ロット番号	Partijas numurs	Código de Lote	Lote o número de lote	หมายเลขครั้งที่ผลิต หรือ หมายเลขรุ่นที่ผลิต (Batch/Lot No.)	Numero di partita o lotto
11	Production date (YYMMDD)	معرف تاريخ الانتاج YYMMDD	生產日期（年/月/日）(YYMMDD)	生产日期（YYMMDD）	Productiedatum (JJMMDD)	Produktionsdatum (JJMMTT)	Ημερομηνία Παραγωγής (ΕΕΜΜΗΗ)	製造年月日	Izgatavošanas datums (GGMMDD)	Data de Produção (AAMMDD)	Fecha de producción (AAMMDD)	วันที่ผลิต (YYMMDD)	Data di produzione (YYMMDD)
12	Due date for amount on payment slip (YYMMDD)	معرف تاريخ الاستحقاق YYMMDD	付款到期日（年/月/日）(YYMMDD)	付款截止日期（YYMMDD）	Vervaldatum (JJMMDD)	Fälligkeitsdatum (JJMMTT)	Ημερομηνία Πληρωμής Οφειλής (ΕΕΜΜΗΗ)	支払期限日	Datums līdz kuram jāapmaksā rēķins (GGMMDD)	Data de Vencimento da Fatura (AAMMDD)	Fecha de vencimiento de pago (AAMMDD)	วันที่ครบกำหนด (YYMMDD)	Data di scadenza pagamento fattura (YYMMDD)
13	Packaging date (YYMMDD)	معرف تاريخ التعبئة YYMMDD	包裝日期（年/月/日）(YYMMDD)	包装日期（YYMMDD）	Verpakkingsdatum (JJMMDD)	Packdatum (JJMMTT)	Ημερομηνία Συσκευασίας (ΕΕΜΜΗΗ)	包装年月日	Iepakošanas datums (GGMMDD)	Data do Embalamento/Embalagem (AAMMDD)	Fecha de envasado (AAMMDD)	วันที่บรรจุหีบห่อ (YYMMDD)	Data di confezionamento (YYMMDD)
15	Best before date (YYMMDD)	معرف أفضل قبل تاريخ YYMMDD	最佳有效期限（年/月/日）(YYMMDD)	保质期（YYMMDD）	Houdbaarheidsdatum (JJMMDD)	Mindesthaltbarkeitsdatum (JJMMTT)	Ημερομηνία Ανάλωσης Κατά Προτίμηση (ΕΕΜΜΗΗ)	品質保持期限日（賞味期限日）	Ieteicams līdz datums (GGMMDD)	Data Mínima de Validade (AAMMDD) (consumir antes de)	Fecha de consumo preferente (AAMMDD)	วันที่ควรบริโภคก่อน (YYMMDD)	Data di consumo preferibile (YYMMDD)
16	Sell by date (YYMMDD)	معرف البيع بتاريخ YYMMDD	銷售期限（年/月/日）(YYMMDD)	停止销售期（YYMMDD）	Uiterste verkoopdatum (JJMMDD)	”Zu verkaufen bis”-Datum (JJMMTT)	Ημερομηνία Πώλησης Κατά Προτίμηση (ΕΕΜΜΗΗ)	販売期限日	Pārdot līdz datums (GGMMDD)	Vender até (AAMMDD)	Última fecha de venta (AAMMDD)	ขายได้ถึงวันที่ (YYMMDD)	Data ultima di vendita (YYMMDD)
